interval	start	finish
188	59.972928704336056	60.2642158674713
190	60.38885556661975	61.04974655705217
192	61.08566761263772	61.24588535872627
194	61.60724417666278	61.69837198887134
196	61.7283065686348	62.00266602602768
198	62.101861029407246	62.54500933894813
200	62.56628710677359	62.783584150677584
202	62.85697776613694	63.02975471903013
204	63.07978294063648	63.17122702287324
206	63.191304542402754	63.33149290982342
208	63.4824743857515	63.79100739884009
210	64.10462894550423	64.41525458647307
212	64.4719108959797	64.71433224908557
214	64.75129853118545	64.84632733002789
216	64.92434943256434	65.43807838013089
218	65.5913935060765	65.7831487842623
220	65.8429813908305	66.39600607056946
222	66.53993315449975	66.95985719765207
224	67.55846740794935	67.81705452203572
226	67.83298486454939	68.17362271871652
228	69.44120382187855	69.6674243544676
230	69.69836134761677	70.06862949951902
232	70.75963609207301	71.53070876146815
234	71.55363548291714	71.78260399434261
236	71.84563062322707	72.09098761786868
238	72.15746694447334	72.49185127752672
240	72.51277717457381	73.2236382623871
242	75.1367782019702	75.3659230608944
244	75.38815714899543	75.86820461278286
246	75.93547793709833	76.45806869022189
248	76.51168396903276	76.70767238192529
250	76.82576029789703	76.97704429601501
252	77.05975747808392	77.11282164682046
254	77.13003967139156	77.48899444920072
256	77.95831467504675	78.18353137335093
258	78.1992571967411	78.23177092109397
260	78.26420261511201	78.42598257108833
262	78.46227452282763	79.0267005548693
264	79.07672591915161	79.24789999155578
266	80.00250497954794	80.25471144507057
268	80.4505849746622	80.97815588400526
270	81.04069232828643	81.65517447963641
272	82.23044743479457	83.316959623
274	84.22938262725485	84.35539056823437
276	84.4705651475591	84.57452159362758
278	84.60829250030561	84.80623683830245
280	84.99502787337147	85.13112794493347
282	85.15661335785617	85.7340363997447
284	85.8011254979774	85.85165011380089
286	86.06093556526723	86.31102299069458
288	86.40290949347492	87.35606960568904
290	87.41890340366518	87.81093798465811
292	87.9022098117601	88.28171398031552
294	88.36863172192051	88.6043823356271
296	89.31990780894735	89.93309250550594
298	89.95983507260486	90.39141892806212
300	91.14113779100417	91.33495435197163
302	91.3543833841639	91.60353624096547
304	91.69372991696284	92.0560182787311
306	92.12816039749805	92.46918370557778
308	92.50333664418926	92.91358869746122
310	93.01115252065443	93.64845790927133
312	93.66701874407958	93.81697696681512
314	94.3969998940146	94.7850458022929
316	94.8075931310219	95.1788823372368
318	95.9000565721595	96.10964734699627
320	96.17052519433715	96.3288699912986
322	96.38077677247787	96.44713885657171
324	96.47816886970396	96.84697598757265
326	96.87300552635347	97.10310321179057
328	97.15550617577127	97.22174670906388
330	97.28635578873998	97.5735730944052
332	97.71396055568985	97.81610084588665
334	97.87730227182142	99.14344072190582
336	100.25340650656209	100.58362089875531
338	100.70038606495446	100.94397644946726
340	101.02373495025732	101.45020936638579
342	102.42503094885427	102.64986427108212
344	103.57419034546601	104.39740007771645
346	104.48534426977537	104.60634183730534
348	104.63089834144921	104.77254282113576
350	104.82781580972755	105.27169458627185
352	105.31230080113252	105.78156148635344
354	107.72219532069167	107.99175390281336
356	108.01043060919874	108.27212023300648
358	108.35310778910502	108.51767362028764
360	108.54513905184245	109.52638295173374
362	109.56130998107248	110.18492489656937
364	110.26016201741498	110.30923774091794
366	110.39406475685004	110.80276897752472
368	110.8276975492699	110.8964279654179
370	110.92764319484395	111.08589862278197
372	111.1290797611647	111.18547922838415
374	111.2638718661529	111.60289924517747
376	111.68378017230037	111.98792437855887
378	112.01125872745867	112.49270340372703
380	113.10374759548382	113.17569940909198
382	113.23952593280875	113.46107462504018
384	113.5243667309588	113.97760270528187
386	114.23482388115977	114.58366579297609
388	114.68197414986619	114.73453927220027
390	114.95615817237908	115.12497315359829
392	115.17666451585892	115.31918127552106
394	115.36832194126184	115.46161367681155
396	115.54855181542325	115.70989995849258
398	115.738283368723	115.83074821313004
400	117.32865517765951	117.61620262413419
402	118.365713041016	118.83518973766506
404	118.86356352818034	119.12152890286238
406	119.2120779975075	119.30138241401183
408	119.72369993523948	119.87156963218052
410	119.94905295207816	120.19523520276398
412	120.43819999808007	120.53219154669237
414	120.60725329751234	120.97772695208269
416	121.0794390756487	121.25187689835334
418	121.32681891560304	121.61494530050055
420	121.68593631151846	122.36899923213899
422	122.96403062735261	123.24940931842777
424	123.33347971688609	123.3918736220327
426	123.42125480349266	123.85397503025729
428	123.93189947986593	124.54998831155682
430	124.56875200111689	125.29414234884008
432	125.32173442650408	125.56504778657572
434	125.63757548910019	125.75281855963136
436	126.31877856871672	126.49835743951675
438	126.51497897196285	126.77143709418516
440	127.0403628363819	127.369883370742
442	127.47518107483468	127.67622276270204
444	127.69306496336414	128.09075761401087
