time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.691135	4	312.656	1959.076	2545.905	3365.726	--undefined--
0.696135	4	290.058	1942.840	2467.675	3368.386	--undefined--
0.701135	4	287.748	2045.436	2187.557	3329.643	--undefined--
0.706135	5	312.758	2089.139	2288.510	3250.714	4625.520
0.711135	5	360.910	2005.955	2127.715	3327.117	4527.689
0.716135	5	387.571	1554.854	2363.680	3443.250	4449.601
0.721135	5	388.235	1479.472	2507.834	3832.880	4798.801
0.726135	5	408.676	1390.684	2473.637	3232.601	4050.952
0.731135	5	418.024	1333.417	2425.903	3209.908	3937.718
0.736135	5	424.105	1312.224	2454.589	3229.532	3946.277
0.741135	5	423.090	1301.881	2472.338	3234.683	4100.486
0.746135	5	424.446	1278.325	2537.114	3231.449	4169.783
0.751135	5	422.329	1246.084	2549.812	3223.723	4036.374
0.756135	5	415.312	1195.646	2464.948	3202.263	3928.924
0.761135	5	409.276	1173.420	2454.731	3204.403	4066.814
0.766135	5	397.714	1127.830	2436.636	3219.770	4192.249
0.771135	5	398.173	1114.178	2427.020	3217.225	4162.565
0.776135	5	390.532	1096.938	2426.861	3205.929	4105.833
0.781135	5	388.767	1076.106	2441.790	3218.005	4051.682
0.786135	5	377.069	1048.425	2427.095	3223.128	4045.229
0.791135	5	374.611	1048.208	2431.431	3235.374	4117.717
0.796135	5	373.166	1038.114	2436.112	3250.930	4112.307
0.801135	5	374.075	1006.131	2464.667	3270.391	4121.195
0.806135	5	362.653	970.940	2459.818	3266.728	4144.964
0.811135	5	349.979	957.571	2459.213	3279.146	4158.023
0.816135	5	336.047	950.811	2487.695	3293.329	4183.133
0.821135	5	315.626	958.953	2539.961	3320.586	4479.189
0.826135	5	313.240	945.260	2518.385	3320.554	4631.898
0.831135	5	339.170	942.306	2448.819	3380.303	4763.457
0.836135	5	423.152	972.475	2524.090	3432.454	4944.970
0.841135	5	417.638	941.687	2522.070	3282.378	4353.074
0.846135	5	411.866	886.793	2542.303	3240.408	4315.796
0.851135	5	401.612	878.504	2576.729	3216.422	4282.854
0.856135	5	407.584	875.939	2590.186	3228.054	4203.330
0.861135	5	408.171	877.732	2621.554	3228.284	4037.697
0.866135	5	417.758	874.339	2633.815	3244.033	4099.009
0.871135	5	415.714	876.425	2660.754	3255.429	4292.156
0.876135	5	424.270	886.968	2647.600	3266.908	4303.053
0.881135	5	425.792	909.697	2633.523	3271.124	4281.623
0.886135	5	431.485	925.690	2620.841	3262.937	4233.517
0.891135	5	421.231	947.979	2601.097	3233.431	4082.217
0.896135	5	429.458	963.523	2580.053	3229.029	4042.357
0.901135	5	443.949	988.892	2568.917	3239.054	4059.160
0.906135	5	462.622	1011.477	2547.281	3295.515	4151.681
0.911135	5	469.614	1045.316	2536.406	3329.202	4189.715
0.916135	5	466.870	1102.418	2557.386	3319.231	4102.447
0.921135	5	448.834	1138.352	2547.792	3307.548	4067.258
0.926135	5	438.739	1171.894	2527.873	3288.421	4077.516
0.931135	5	445.303	1211.885	2493.243	3296.075	4080.809
0.936135	5	438.651	1283.256	2472.706	3340.688	4160.939
0.941135	4	431.782	1414.787	2583.862	3561.070	--undefined--
0.946135	4	369.365	1454.038	2612.235	3648.618	--undefined--
0.951135	4	284.089	1422.144	2600.300	3218.423	--undefined--
0.956135	5	276.769	1404.985	2601.121	3089.604	4533.097
0.961135	5	279.667	1388.180	2595.863	2916.579	4403.887
0.966135	5	287.844	1413.519	2595.573	2977.556	4369.103
0.971135	5	289.936	1422.145	2593.396	3060.345	4262.995
0.976135	5	284.546	1416.347	2600.963	3044.798	4425.949
0.981135	5	275.814	1467.704	2644.490	3032.779	4440.868
0.986135	5	279.606	1458.882	2657.534	2914.195	4361.414
0.991135	5	282.315	1663.429	2586.290	3023.634	4279.097
0.996135	5	271.598	1438.185	2555.036	3566.416	4286.847
1.001135	5	294.079	1508.740	2548.110	3729.409	4233.333
1.006135	4	311.181	1942.247	2576.593	3992.625	--undefined--
1.011135	5	300.535	1901.462	2423.159	3384.515	4102.691
1.016135	5	303.775	1902.214	2443.295	3358.316	3951.297
1.021135	5	305.702	1908.158	2461.359	3442.185	3858.854
1.026135	5	305.710	1938.579	2494.049	3484.101	3808.445
1.031135	5	299.629	1925.387	2384.188	3399.583	4024.409
1.036135	5	299.020	1843.151	2236.189	3322.808	4155.750
1.041135	4	289.378	1903.554	2277.135	3343.367	--undefined--
1.046135	4	271.769	2023.379	2320.137	3407.210	--undefined--
